"weighting","median_infections","infections_lower95","infections_upper95","median_IFR","IFR_lower95","IFR_upper95"
"Dirichlet",6344.59021640882,2705.33199836553,10355.3176005928,0.00324686060050385,0.00198931609773328,0.00761459222470508
"R0_negative",6459.86026732375,2754.48312500652,10352.7191791286,0.00318892346699851,0.00198981539473515,0.00747871708233873
"R0_positive",6343.55542516038,2704.89076353792,11014.1477330147,0.0032473902440096,0.00187032174430091,0.00761583435371556
"equal",6453.58045506086,2751.8054143211,10385.8274707842,0.00319202652596445,0.00198347219400175,0.00748599442852765
