a,Rstar,R0,psi,pi,mean_nz,meannh
1.90680367407259e-05,1.22863173593005,0.025458947344267,17.4727866165323,3.64092797495256e-06,12384.7929055739,13077.9872426091
1.34566405034903e-05,1.18627859948357,0.000191696374039335,13.1270684185317,2.11344216601017e-06,16651.0194525139,17583.000510118
2.26566091321176e-05,1.83630033857696,0.10791944337738,20.7829643028228,1.15663880673056e-05,10362.6967627989,10942.7115250282
1.67356269661719e-05,1.30860967019577,0.00395810290770834,15.0928881696996,3.96238328842739e-06,14406.0528550577,15212.3799639802
2.24615267219888e-05,1.05664303828804,0.0174870123803595,16.4466662896885,1.22548860077576e-06,13182.2242585577,13920.051953799
1.36734140955806e-05,1.1524636029602,0.00803324889459044,8.26627068938993,1.82352961081706e-06,27095.9770465779,28612.5771212283
2.07235837395536e-05,1.33540106145135,0.0177987489805314,17.8670988008007,5.29917043775522e-06,12103.4444408461,12780.8913072558
1.61201825988432e-05,1.52488118506556,0.0275600369971903,14.5631477252916,5.70590962221438e-06,14949.1595790226,15785.8851377479
2.01728948111879e-05,1.30973356848469,0.0316907236793974,30.1368758631199,4.9266343611482e-06,7091.28613730629,7488.19543002968
1.38747277923524e-05,1.44002720101592,0.122951882122473,15.9714817050668,4.83395623662375e-06,13587.3755052935,14347.8800875866
1.43278253301093e-05,1.08439786402625,0.0651477711375199,8.72081808897944,1.1928159035987e-06,25593.9643508646,27026.4946552119
2.04185358546171e-05,1.2510181796468,0.0621620438877908,8.68214286443215,4.36846404246882e-06,25715.2429387709,27154.5613768384
2.29524389603678e-05,1.10918637780803,0.0477659600062755,17.2539040314307,2.37267661707786e-06,12546.6904505156,13248.94642162
2.29413524014251e-05,1.27268028668595,0.0831622723236583,19.207372219645,5.36105035748456e-06,11235.8745079252,11864.7622608263
2.27989004430464e-05,1.4222289209326,0.0225432022022996,13.9000508735665,6.92443915364851e-06,15689.5847667973,16567.7529682117
2.36271738669081e-05,1.28121050237362,0.0349332856127419,31.5112000760545,5.37346927028099e-06,6776.96567366925,7156.28200645631
2.00112919347407e-05,1.39511846601338,0.0253570532328984,15.293644224071,5.81482757292699e-06,14210.4065263587,15005.783034157
2.21244344245763e-05,1.76860958479613,0.0168730639448964,24.4551717505991,9.77972307946895e-06,8773.64407430716,9264.71731500181
2.30931295192866e-05,1.06334825984752,0.0481090125976378,15.4217609675092,1.44525397838531e-06,14088.3055880294,14876.8479339937
1.30470280882353e-05,1.18973246646002,0.0405197362591844,9.78983488110748,2.1685125778653e-06,22642.6948870706,23910.0384745333
1.80158879561657e-05,1.26604258554793,0.00409485290535235,18.0775736591713,3.80130467571618e-06,11958.4384077307,12627.7690818263
1.75466295117298e-05,1.16133255599857,0.118407649624739,18.1161143785403,2.76491956381443e-06,11932.2615345705,12600.1270521332
1.83689004676435e-05,1.10697897193931,0.0696862962844669,9.10115428808717,1.90811328067846e-06,24459.6030742198,25828.6415770394
1.90378996157907e-05,1.18065493015163,0.0807547071894253,28.7633985910343,3.16887666239873e-06,7435.96180860607,7852.16308507763
1.39053040714134e-05,1.58838998311946,0.00238992637465853,13.3528254220888,5.1632331390386e-06,16358.2499095884,17273.8442427023
1.49124503953736e-05,1.49702902344836,0.0254417985542266,21.8699744067692,5.08026138448035e-06,9835.38778716987,10385.8883218654
1.59397384377792e-05,1.11655731875942,0.0231356011046647,15.5896733738832,1.70332817668864e-06,13931.4205328923,14711.1818009156
2.30470367643312e-05,1.72721449586337,0.0263157229074633,21.1263777093205,9.96558491511407e-06,10190.0975954706,10760.4517387229
1.36367844208069e-05,1.20225329418018,0.0416666598180399,12.92124247152,2.39380505995219e-06,16927.2308703257,17874.6718707897
2.25505147429872e-05,1.1146297107953,0.0195859921524643,24.18064012248,2.36539418307695e-06,8875.38772742857,9372.15570397473
2.12045036530467e-05,1.43302385455692,0.0153548048660624,9.928630973443,6.50724786624607e-06,22308.7473444165,23557.3994166315
2.21744266680172e-05,1.40134076011464,0.00470538105499679,17.1476646476512,6.38058604200553e-06,12626.8069334699,13333.5471371902
1.9158706367257e-05,1.48969392835936,0.134915094326642,12.4273554490405,7.27989319031962e-06,17628.9583918157,18615.6760719745
1.87299000863358e-05,1.2188702905973,0.00994161141892495,11.228978409003,3.39700156175587e-06,19600.7437138984,20697.8250012277
2.38998343641004e-05,1.65261874446377,0.332336395034618,19.104291320733,1.41353138518634e-05,11298.1590929835,11930.5330020098
2.24785025846176e-05,1.0388582608348,0.049869435654317,38.0716523258335,8.84913571846067e-07,5593.47328555752,5906.54787917153
2.02710401471592e-05,1.85061725239804,0.155321416140061,20.2307412470627,1.10303889804927e-05,10652.849974978,11249.1050219734
