"","Reporting","Median_IFR","Lower_95","Upper_95"
"100%",1,0.319608224167185,0.0962174369259922,0.748463758918929
"80%",0.8,0.399510280208981,0.12027179615749,0.935579698648662
"60%",0.6,0.532680373611975,0.160362394876654,1.24743959819822
"40%",0.4,0.799020560417963,0.24054359231498,1.87115939729732
